"county","population","White","Black","Native","Asian","PacIs","MultRaces","HispLat","WhiteNonHL","households","personsPerHousehold","hsGrad","bachDeg","noInsurance","medianIncome","poverty","popDensity","area"
"New Jersey",8882190,72,15,0.6,10,0.1,2.3,20.6,54.9,3213362,2.71,89.5,38.9,8.7,79363,9.5,1195.5,7354.22
"Atlantic County",263670,71.1,17.1,0.7,8.3,0.1,2.7,19.2,55.9,99874,2.63,86.9,27.4,9.6,59989,12.8,494.1,555.7
"Bergen County",932202,73,7.3,0.5,16.9,0.1,2.2,20.6,55.7,338249,2.72,92.2,48.3,8.7,95837,6.8,3884.5,233.01
"Burlington County",445349,73.1,18.2,0.3,5.3,0.1,2.9,8.3,67,165496,2.63,93.6,37.5,5.4,84992,6.2,561.9,798.58
"Camden County",506471,69.2,21.6,0.6,6,0.1,2.5,17.2,56.3,187158,2.67,88.4,31.8,8.1,67118,12.9,2321.5,221.26
"Cape May County",92039,91.8,4.9,0.3,1,0.1,1.9,7.9,85.2,39904,2.28,91.2,31.5,8,63690,10.3,386.9,251.43
"Cumberland County",149527,71.9,21.9,1.6,1.5,0.1,3,31.4,45.9,50608,2.77,77.9,14.7,10.7,52593,15.2,324.4,483.7
"Essex County",798975,49,41.9,0.7,5.8,0.1,2.4,23.5,30.5,282502,2.73,85.7,34.8,11.6,59302,14.9,6211.5,126.21
"Gloucester County",291636,83.1,11.2,0.3,3.1,0.1,2.2,6.4,78.1,104587,2.74,92.9,31.9,5.2,85160,7.6,895.3,322.01
"Hudson County",672391,64.7,14.8,1.1,16.4,0.2,2.7,42.9,28.8,255429,2.59,84.2,40.9,12.9,66289,14.3,13731.4,46.19
"Hunterdon County",124371,91,2.9,0.2,4.2,0.2,1.4,6.8,85.1,47180,2.56,95.1,52,4.1,112535,4.4,300,427.82
"Mercer County",367430,63.6,21.5,0.6,11.6,0.2,2.4,18.1,48.8,129873,2.71,88,42,9.2,79990,10.9,1632.2,224.56
"Middlesex County",825062,60.3,11.7,0.6,25.1,0.1,2.2,21.6,42.3,284174,2.8,89.8,42.7,7.7,85954,8.2,2621.6,308.91
"Monmouth County",618795,84.6,7.6,0.3,5.7,0.1,1.8,11.1,75,233874,2.64,93.2,44.9,6.7,95699,6.7,1344.7,468.79
"Morris County",491845,83.2,3.8,0.3,10.7,NA,1.9,13.7,70.8,180896,2.68,94.3,53.6,5.2,111316,4.7,1069.8,460.18
"Ocean County",607186,92.8,3.5,0.3,1.9,NA,1.4,9.5,84.4,225270,2.6,91.8,29.2,7.7,68021,9.7,917,628.78
"Passaic County",501826,74.7,15,1.5,5.8,0.2,2.8,42.3,40.8,163670,3.03,83.4,28.1,13.5,66476,13.6,2715.3,184.59
"Salem County",62385,81.3,14.7,0.6,1.1,NA,2.3,9.5,73.9,23908,2.59,87.7,20.9,7.1,64309,11.2,199.1,331.9
"Somerset County",328934,68.6,10.4,0.4,18.6,0.1,2.1,15,55.5,117012,2.78,94.7,54.5,5.4,111772,4.9,1071.7,301.81
"Sussex County",140488,93.5,2.5,0.3,2,NA,1.7,8.6,85.8,53361,2.63,94.8,34.9,5.7,90520,5.2,287.6,519.01
"Union County",556341,67.6,23.7,0.8,5.7,0.1,2.2,32.3,39.8,188987,2.89,86.2,35.1,11.2,77095,7.8,5216.1,102.86
"Warren County",105267,89.5,5.4,0.3,3,0.1,1.7,9.7,81.1,41350,2.52,91.2,31.8,7,78145,6.7,304.5,356.92
